[11:41:09] run 20260822T164109Z: models=['healedC-c2'] suites=['tools', 'gsm8k', 'mmlu', 'speed', 'perplexity'] limit=None
[11:41:09] === healedC-c2 ===
[11:41:22] server healthy
[11:42:18]   tools simple-01: FAIL
[11:42:40]   tools simple-02: FAIL
[11:43:02]   tools simple-03: FAIL
[11:43:03]   tools simple-04: FAIL
[11:43:04]   tools simple-05: FAIL
[11:43:26]   tools simple-06: FAIL
[11:43:48]   tools simple-07: FAIL
[11:43:50]   tools simple-08: FAIL
[11:43:51]   tools argtype-01: FAIL
[11:44:13]   tools argtype-02: FAIL
[11:44:35]   tools argtype-03: FAIL
[11:44:36]   tools argtype-04: FAIL
[11:44:58]   tools argtype-05: FAIL
[11:44:59]   tools argtype-06: FAIL
[11:45:00]   tools argtype-07: FAIL
[11:45:22]   tools argtype-08: FAIL
[11:45:44]   tools select-01: FAIL
[11:46:05]   tools select-02: FAIL
[11:46:08]   tools select-03: FAIL
[11:46:10]   tools select-04: FAIL
[11:46:32]   tools select-05: FAIL
[11:46:33]   tools select-06: FAIL
[11:46:55]   tools select-07: FAIL
[11:46:56]   tools select-08: FAIL
[11:46:57]   tools negative-01: FAIL
[11:46:59]   tools negative-02: OK
[11:47:21]   tools negative-03: FAIL
[11:47:43]   tools negative-04: FAIL
[11:47:45]   tools negative-05: FAIL
[11:47:46]   tools negative-06: FAIL
[11:47:47]   tools negative-07: OK
[11:47:48]   tools negative-08: FAIL
[11:48:10]   tools negative-09: FAIL
[11:48:32]   tools negative-10: FAIL
[11:48:34]   tools multiturn-01: FAIL
[11:48:35]   tools multiturn-02: FAIL
[11:48:36]   tools multiturn-03: FAIL
[11:48:38]   tools multiturn-04: FAIL
[11:49:00]   tools multiturn-05: FAIL
[11:49:01]   tools multiturn-06: FAIL
[11:49:01]   gsm8k 0: FAIL
[11:49:02]   gsm8k 1: FAIL
[11:49:03]   gsm8k 2: FAIL
[11:49:03]   gsm8k 3: FAIL
[11:49:25]   gsm8k 4: FAIL
[11:49:46]   gsm8k 5: FAIL
[11:49:47]   gsm8k 6: FAIL
[11:49:47]   gsm8k 7: FAIL
[11:50:09]   gsm8k 8: FAIL
[11:50:30]   gsm8k 9: FAIL
[11:50:52]   gsm8k 10: FAIL
[11:50:52]   gsm8k 11: FAIL
[11:51:14]   gsm8k 12: FAIL
[11:51:15]   gsm8k 13: FAIL
[11:51:15]   gsm8k 14: FAIL
[11:51:21]   mmlu 0: FAIL
[11:51:22]   mmlu 1: FAIL
[11:51:27]   mmlu 2: FAIL
[11:51:32]   mmlu 3: FAIL
[11:51:38]   mmlu 4: FAIL
[11:51:44]   mmlu 5: FAIL
[11:51:50]   mmlu 6: FAIL
[11:51:51]   mmlu 7: FAIL
[11:51:52]   mmlu 8: FAIL
[11:51:55]   mmlu 9: FAIL
[11:51:55]   mmlu 10: FAIL
[11:52:01]   mmlu 11: FAIL
[11:52:02]   mmlu 12: FAIL
[11:52:07]   mmlu 13: FAIL
[11:52:08]   mmlu 14: FAIL
[11:52:14]   mmlu 15: FAIL
[11:52:19]   mmlu 16: FAIL
[11:52:25]   mmlu 17: FAIL
[11:52:26]   mmlu 18: FAIL
[11:52:32]   mmlu 19: FAIL
[11:52:32]   mmlu 20: FAIL
[11:52:33]   mmlu 21: FAIL
[11:52:39]   mmlu 22: FAIL
[11:52:39]   mmlu 23: FAIL
[11:52:45]   mmlu 24: FAIL
[11:52:51]   mmlu 25: FAIL
[11:52:57]   mmlu 26: FAIL
[11:53:02]   mmlu 27: FAIL
[11:53:03]   mmlu 28: FAIL
[11:53:04]   mmlu 29: FAIL
[11:53:45] healedC-c2: tools=0.05 gsm8k=0.0 mmlu=0.0 loop=0.3412 tg128=None
[11:53:45] summary written to C:\code\model-shrink-ideas\bench\results\summary.md
