[17:59:53] run 20260820T225953Z: models=['healedC-w384'] suites=['tools', 'gsm8k', 'mmlu', 'speed', 'perplexity'] limit=None
[17:59:53] === healedC-w384 ===
[18:00:32] server healthy
[18:26:13]   tools simple-01: OK
[18:30:39]   tools simple-02: OK
[18:35:29]   tools simple-03: OK
[18:40:14]   tools simple-04: OK
[18:44:17]   tools simple-05: OK
[18:48:51]   tools simple-06: OK
[18:53:14]   tools simple-07: OK
[18:57:56]   tools simple-08: OK
[19:00:38]   tools argtype-01: OK
[19:00:47]   tools argtype-02: OK
[19:02:07]   tools argtype-03: OK
[19:03:29]   tools argtype-04: FAIL
[19:04:41]   tools argtype-05: OK
[19:06:00]   tools argtype-06: FAIL
[19:07:15]   tools argtype-07: FAIL
[19:08:26]   tools argtype-08: OK
[19:09:46]   tools select-01: OK
[19:11:00]   tools select-02: OK
[19:12:17]   tools select-03: OK
[19:13:41]   tools select-04: OK
[19:15:08]   tools select-05: OK
[19:16:23]   tools select-06: OK
[19:16:42]   tools select-07: FAIL
[19:18:01]   tools select-08: OK
[19:18:17]   tools negative-01: OK
[19:19:35]   tools negative-02: OK
[19:20:52]   tools negative-03: FAIL
[19:22:07]   tools negative-04: FAIL
[19:23:29]   tools negative-05: OK
[19:24:31]   tools negative-06: FAIL
[19:25:41]   tools negative-07: OK
[19:26:45]   tools negative-08: FAIL
[19:27:46]   tools negative-09: FAIL
[19:27:55]   tools negative-10: OK
[19:28:02]   tools multiturn-01: OK
[19:28:53]   tools multiturn-02: OK
[19:29:02]   tools multiturn-03: OK
[19:29:12]   tools multiturn-04: FAIL
[19:30:11]   tools multiturn-05: FAIL
[19:30:17]   tools multiturn-06: OK
[19:31:52]   gsm8k 0: FAIL
[19:33:30]   gsm8k 1: OK
[19:34:56]   gsm8k 2: FAIL
[19:36:27]   gsm8k 3: FAIL
[19:37:56]   gsm8k 4: FAIL
[19:39:18]   gsm8k 5: FAIL
[19:40:38]   gsm8k 6: FAIL
[19:42:07]   gsm8k 7: FAIL
[19:42:23]   gsm8k 8: FAIL
[19:43:43]   gsm8k 9: FAIL
[19:45:28]   gsm8k 10: OK
[19:45:38]   gsm8k 11: OK
[19:47:02]   gsm8k 12: FAIL
[19:48:25]   gsm8k 13: FAIL
[19:49:42]   gsm8k 14: OK
[19:49:44]   mmlu 0: FAIL
[19:49:45]   mmlu 1: FAIL
[19:49:47]   mmlu 2: FAIL
[19:49:49]   mmlu 3: OK
[19:49:57]   mmlu 4: FAIL
[19:50:04]   mmlu 5: FAIL
[19:50:20]   mmlu 6: OK
[19:50:39]   mmlu 7: OK
[19:50:41]   mmlu 8: OK
[19:51:04]   mmlu 9: OK
[19:51:25]   mmlu 10: FAIL
[19:51:40]   mmlu 11: FAIL
[19:51:55]   mmlu 12: FAIL
[19:51:56]   mmlu 13: FAIL
[19:51:57]   mmlu 14: FAIL
[19:52:01]   mmlu 15: OK
[19:52:02]   mmlu 16: FAIL
[19:52:04]   mmlu 17: OK
[19:52:07]   mmlu 18: OK
[19:52:08]   mmlu 19: OK
[19:52:21]   mmlu 20: FAIL
[19:52:23]   mmlu 21: OK
[19:52:24]   mmlu 22: FAIL
[19:52:37]   mmlu 23: FAIL
[19:52:50]   mmlu 24: FAIL
[19:53:03]   mmlu 25: FAIL
[19:53:16]   mmlu 26: FAIL
[19:53:24]   mmlu 27: OK
[19:53:38]   mmlu 28: OK
[19:53:52]   mmlu 29: OK
[19:55:08] healedC-w384: tools=0.725 gsm8k=0.2667 mmlu=0.4333 loop=0.0353 tg128=None
[19:55:08] summary written to C:\code\model-shrink-ideas\bench\results\summary.md
